id,name,lat,long,estimate
1,Alabama,32.806671,-86.79113,9
2,Alaska,61.370716,-152.404419,8.9
3,Arizona,33.729759,-111.431221,9.6
4,Arkansas,34.969704,-92.373123,9.1
5,California,36.116203,-119.681564,9.3
6,Colorado,39.059811,-105.311104,9.6
7,Connecticut,41.597782,-72.755371,10.6
8,Delaware,39.318523,-75.507141,10.8
9,Florida,27.766279,-81.686783,7.3
10,Georgia,33.040619,-83.643074,9
11,Hawaii,21.094318,-157.498337,8.8
12,Idaho,44.240459,-114.478828,9.4
13,Illinois,40.349457,-88.986137,8.5
14,Indiana,39.849426,-86.258278,9.6
15,Iowa,42.011539,-93.210526,9.1
16,Kansas,38.5266,-96.726486,9.8
17,Kentucky,37.66814,-84.670067,11.5
18,Louisiana,31.169546,-91.867805,7.8
19,Maine,44.693947,-69.381927,10.6
20,Maryland,39.063946,-76.802101,8.9
21,Massachusetts,42.230171,-71.530106,10.7
22,Michigan,43.326618,-84.536095,11
23,Minnesota,45.694454,-93.900192,8.5
24,Mississippi,32.741646,-89.678696,8.9
25,Missouri,38.456085,-92.288368,9.3
26,Montana,46.921925,-110.454353,10.6
27,Nebraska,41.12537,-98.268082,7.8
28,Nevada,38.313515,-117.055374,9.5
29,New Hampshire,43.452492,-71.563896,11.5
30,New Jersey,40.298904,-74.521011,8.7
31,New Mexico,34.840515,-106.248482,10.1
32,New York,42.165726,-74.948051,9.5
33,North Carolina,35.630066,-79.806419,7.8
34,North Dakota,47.528912,-99.784012,8.6
35,Ohio,40.388783,-82.764915,9.9
36,Oklahoma,35.565342,-96.928917,10.8
37,Oregon,44.572021,-122.070938,10.6
38,Pennsylvania,40.590752,-77.209755,10.2
39,Rhode Island,41.680893,-71.51178,12.1
40,South Carolina,33.856892,-80.945007,9.4
41,South Dakota,44.299782,-99.438828,8.1
42,Tennessee,35.747845,-86.692345,10.3
43,Texas,31.054487,-97.563461,7.4
44,Utah,40.150032,-111.862434,10.8
45,Vermont,44.045876,-72.710686,10.8
46,Virginia,37.769337,-78.169968,8.6
47,Washington,47.400902,-121.490494,9.6
48,West Virginia,38.491226,-80.954453,12.4
49,Wisconsin,44.268543,-89.616508,10.2
50,Wyoming,42.755966,-107.30249,10
